"organization_id","name"
"5501","Absolute Bail Bonds"
"5502","Bay Area Bicycle Coalition"
"5503","BayRail Alliance"
"5504","California ACORN"
"5505","California Bicycle Coalition"
"5506","California Center for Public Health Advocacy"
"5507","California Futures Network"
"5508","California Park and Recreation Safety"
"5509","California Park and Recreation Society"
"5510","California State PTA"
"5511","City of Fresno - Public Works Department"
"5513","Cities of Anderson, Artesia, Atwater, Cathedral City,"
"5514","Claremont, Concord, Covina, Fontana, Fremont, La Habra,"
"5515","Laguna Beach, Lancaster, Mill Valley, Monrovia, Morgan"
"5516","Hill, Rancho Cucamonga, Rosemead, Sanger, San Diego, San"
"5517","Pablo, Santa Barbara, San Bernardino, San Leandro, Santa"
"5520","Community Traffic Safety Coalition of Santa Cruz County"
"5521","Contra Costa Childhood Injury Prevention Coalition"
"5522","County of Fresno, Board of Supervisors, District 3"
"5523","Counties of Marin, Orange, and San Diego"
"5524","Ecumenical Association for Housing"
"5525","Fairfax Safe Routes to School"
"5526","Los Angeles County Bicycle Coalition"
"5528","Marin County Bicycle Coalition"
"5529","Marin County Board of Supervisors"
"5531","Nate Miley, Alameda County Supervisor"
"5534","Presidio MS PTSA"
"5535","Rails To Trials Conservancy"
"5536","Safe Routes to School:  Marin County Pubic Works"
"5537","San Diego Association of Governments"
"5538","San Diego Safe Kids Coalition"
"5539","San Francisco Bicycle Coalition"
"5540","Santa Cruz County Regional Transportation Commission"
"5541","School Traffic and Pedestrian Safety Improvement Project"
"5542","Silicon Valley Manufacturing Group"
"5543","Sonoma County Bicycle Coalition"
"5544","Strategic Alliance"
"5545","The Access Center of Imperial Valley"
"5546","The Association of EOP Directors"
"5547","The Local Government Commission"
"5548","Transportation and Land Use Corporation"
"5549","Urban Ecology"
"5550","WalkSacramento"
"5551","American Council of Gift Annuities"
"5552","Atherton Baptist Homes"
"5553","California Polytechnic State"
"5554","California State University"
"5555","Chapman University"
"5556","Northern California Planned Giving Council"
"5566","San Francisco Symphony"
"5568","The Claremont School of Theology"
"5569","The Episcopal Diocese of California"
"5574","California Department of Insurance"
"5575","City of Laguna Beach"
"5576","Attorney General (source)"
"5579","State Controller"
"5580","State Treasurer"
"5581","California Mobilehome Resource and Action Association"
"5582","Golden State Manufactured-Home Owners League, Inc."
"5583","State Controller Steve Westly"
"5585","CA Association of Recreation and Park Districts"
"5586","CA Association of Resource Conservation Districts"
"5587","CA Municipal Utilities Association"
"5588","CA Public Securities Association"
"5589","County of Sacramento"
"5590","East Bay Municipal Water District"
"5591","League of CA Cities"
"5592","Mosquito and Vector Control Association of CA"
"5594","State Association of County Auditors"
"5595","Acclamation Risk Management Services"
"5596","California Apartment Association"
"5597","California Hotel & Lodging Association"
"5598","Compensation Risk Managers"
"5599","Flasher Barricade Association"
"5600","Independent Waste Oil Collectors and Transporters"
"5601","Insurance Agents and Brokers Legislative Council"
"5603","Affinity Group Administrators"
"5604","California-Nevada Conference of Operating Engineers"
"5605","Engineers and Scientist of California"
"5606","Professional and Technical Engineers, Local 21"
"5608","Transport Workers Union of America"
"5609","Flasher/Barricade Association"
"5610","California Law Review Commission (source)"
"5611","Coyote Valley Band of Pomo Indians"
"5612","Fort Mojave Indian Tribe"
"5613","Buena Vista Rancheria of Me-Wuk Indians"
"5614","Ewiiaapaayp Band of Kumeyaay Indians"
"5615","San Manuel Band of Mission Indians"
"5616","California Coalition on Donation (sponsor)"
"5617","California Transplant Donor Network"
"5618","Golden State Donor Services"
"5620","Culver City Fire Department"
"5621","Lake Shastina Community Services District"
"5622","Penn Valley Fire Protection District"
"5623","Escalon Fire Department"
"5624","Escondido Fire Department"
"5625","Carpinteria-Summerland Fire Protection District"
"5626","Alpine Fire Protection District"
"5627","San Mateo Fire Department"
"5628","Atascadero Fire Department"
"5629","Riverside Fire Department"
"5630","Lake Valley Fire Protection District"
"5632","Fire Chiefs Association of Santa Barbara County"
"5633","Sacramento County Fire Chiefs Association"
"5634","Painted Cave Fire Department"
"5636","County of Santa Barbara Fire Department"
"5637","Meeks Bay Fire Protection District"
"5638","Nevada County Consolidated Fire District"
"5639","North County Fire Authority"
"5640","Capistrano Unified School District"
"5642","Los Angeles County Office of Education"
"5643","Santee School District"
"5644","Riverside County Schools Advocacy Association"
"5645","Coalition for Adequate Housing"
"5646","California Law Revision Commission (sponsor)"
"5647","California Transit Authority (source)"
"5648","Santa Clara Valley Transportation Authority"
"5649","CH2MHILL, Chula Vista City Council, City of"
"5650","Poway, Riverside County Board of Supervisors,"
"5651","Santa Ana Watershed Project Authority"
"5652","County of Lake Probation Department"
"5653","County of Lake, Board of Supervisors"
"5654","Lake County Office of Education"
"5655","Lakeport Unified School District"
"5656","California State Floral Association"
"5657","California Cut Flower Commission"
"5658","Holt Transportation, Inc."
"5659","The Sun Valley Group (Sun Valley Floral Farms)"
"5660","State Department of Transportation"
"5661","Lake County (source)"
"5662","Regional Council of Rural Counties"
"5666","Small School Districts Association"
"5667","State Treasurer Philip Angelides"
"5669","American Planning Association - California Chapter"
"5670","California Redevelopment Association"
"5673","Counties of Orange, Sacramento"
"5674","Orange County Supervisor Chris Norby"
"5675","Sacramento County Sheriff Lou Blanas"
"5678","UFCW Local 770, Hollywood"
"5679","UFCW Local 839, Salinas"
"5680","UFCW Local 1179, Contra Costa County"
"5681","Alliance of Automobile Manufacturers"
"5682","American Capitol Management"
"5683","California Alliance For Consumer Protection"
"5684","California Motor Car Dealers Association"
"5685","Cities of Sacramento, Signal Hill"
"5686","International Mass Retail Association"
"5688","with the Million Mom March (co-source)"
"5689","Coalition to Stop Gun Violence (co-source)"
"5690","Firearms Law Center"
"5691","Placer County District Attorney"
"5692","Los Angeles District Attorney"
"5693","American Academy of Pediatrics"
"5694","Trauma Foundation"
"5695","State Department of Justice"
"5698","Safari Club"
"5699","California Rifle and Pistol Association"
"5700","Citizens Committee for the Right to Keep and Bear Arms"
"5702","Albertsons"
"5703","Canyon Hills Club, Anaheim Hills"
"5704","Do it center -Chatsworth"
"5706","ManagEase -Anaheim"
"5707","Ralphs Grocery Company"
"5708","Valley Crest Residential Care"
"5709","Wilson Automotive Group"
"5711","Peace Officers Research Association of California"
"5713","California State Employees Association"
"5714","AIDS Healthcare Foundation"
"5715","California Alliance for Retired Americans"
"5716","California Public Interest Research Group"
"5717","California Seniors Coalition"
"5718","Consumers Federation of California"
"5720","Gray Panthers California"
"5722","Health Access California"
"5724","Keenan and Associates"
"5725","Lambda Letters Project"
"5726","Lt. Governor Cruz Bustamante"
"5727","San Joaquin County Commission on Aging"
"5728","United Nurses Associations of California/Union of Health"
"5732","Bayer Healthcare Corporation"
"5736","California Pharmacists Association"
"5737","California Resource Institute"
"5738","Novartis Pharmaceuticals Corporation"
"5739","Pharmaceutical Research and Manufacturers of America"
"5740","TMJ Society of California"
"5741","Wyeth Pharmaceuticals"
"5742","Western Manufactured Housing Communities Association (Sponsor)"
"5743","Golden State Manufactured Home Owners League"
"5744","County of Santa Barbara"
"5745","San Luis Obispo County"
"5747","Attorney General of California"
"5748","California Commission on Aging"
"5749","California Latino Medical Association"
"5752","Consumer Federation of California"
"5753","Latino Coalition for a Health California"
"5755","Retired Public Employees Association"
"5756","Santa Clara County Board of Supervisors"
"5757","Senior Action Network"
"5758","United Nurses Association of California/Union of Health"
"5759","Care Professionals"
"5760","Boehringer Ingelheim Pharmaceuticals, Inc."
"5762","California Healthcare Institute Citizens Against Law Suit"
"5763","Abuse, San Joaquin County Chapter"
"5764","Eli Lilly and Company"
"5765","Hepatitis C Global Foundation"
"5766","Latino Behavioral Health Institute"
"5769","Seniors Coalition"
"5770","Western Center on Law and Poverty (source)"
"5771","Affordable Housing Alliance, San Francisco"
"5772","Agora Group, Goleta"
"5773","Beacon Housing, Los Angeles"
"5775","Cabrillo Economic Development Corp, Saticoy"
"5776","California Affordable Housing Law Project"
"5777","California Church IMPACT"
"5778","California Council of the Blind"
"5779","California Legislative Council for Older Americans"
"5780","California Partnership, Downey"
"5781","California Reinvestment Coalition"
"5782","Center for Community Advocacy, Salinas"
"5783","Central City SRO Collaborative, San Francisco"
"5784","Chicano Consortium"
"5785","Civic Center Barrio Housing Corporation, Santa Ana"
"5786","Coalition for Economic Survival, Los Angeles"
"5787","Community Housing Improvement Program, Chico"
"5788","Congregations Building Community, Modesto"
"5789","Council of Churches of Santa Clara County, Cupertino"
"5790","East Palo Alto Council of Tenants, East Palo Alto"
"5791","Emergency Housing Consortium, San Jose"
"5793","Esperanza Community Housing Corporation, Los Angeles"
"5794","Fair Housing Council of Riverside , Riverside"
"5795","First Community Housing Inc, San Jose"
"5796","Fisher Sehgal Yanez Architects, Los Angeles"
"5797","Fresno Interdenominational Refugee Ministries, Fresno"
"5798","Fresno West Coalition for Economic Development, Fresno"
"5799","Golden State Mobilehome Owners League, Chapter 24, East"
"5800","Palo Alto"
"5801","Greenlining Institute, Oakland"
"5802","Hillview Mental Health Center Inc, Pacoima"
"5803","Housing Leadership Council of San Mateo County"
"5804","Housing Rights Center, Los Angeles"
"5805","Housing Rights Committee of San Francisco"
"5806","Human Rights/Fair Housing Commission of the City and"
"5807","Inclusive Homes Inc, Los Angeles"
"5808","Inquilinos Unidos, Los Angeles"
"5809","JERICHO:  A Voice for Justice"
"5810","La Raza Centro Legal Inc, San Francisco"
"5811","Loaves and Fishes, Sacramento"
"5812","Los Angeles Housing Law Project, Los Angeles"
"5813","Los Angeles Housing Partnership Inc, Los Angeles"
"5814","Mental Health Advocacy Services Inc, Los Angeles"
"5815","Mid-Peninsula Housing Coalition, Redwood City"
"5816","Neighborhood Housing Services of Orange County"
"5818","Nightingale Manor, Palm Springs"
"5819","O.N.E. Company, Los Angeles"
"5820","Orange County Community Housing Corporation"
"5821","Partners in Housing Inc, Ventura"
"5823","Planning for Elders, San Francisco"
"5824","Protection and Advocacy"
"5825","Public Advocates"
"5826","Public Law Center, Santa Ana"
"5827","Renee Franken and Associates, Sacramento"
"5828","Rubicon Programs, Inc, Richmond"
"5829","Rural Communities Housing Development Corp, Ukiah"
"5830","Sacramento Neighborhood Housing Services"
"5831","Saint Vincent de Paul Village, San Diego"
"5832","San Francisco Homeless Senior Task Force"
"5833","Sanders and Associates, Barbara, Oakland"
"5834","Santa Cruz Affordable Housing Advocates, Santa Cruz"
"5835","Senior Action Network, San Francisco"
"5836","Shelter Inc of Contra Costa County"
"5837","Shelter Partnership Inc, Los Angeles"
"5838","Skid Row Housing Trust, Los Angeles"
"5839","Southern California Association of Non-Profit Housing"
"5842","Southern California Indian Center, Inc., Fountain Valley"
"5843","Strategic Actions for a Just Economy, Los Angeles"
"5844","Tenderloin Housing Clinic, San Francisco"
"5845","Valley Housing Foundation, Pacoima"
"5846","Vietnam Veterans of California - Sacramento Veterans"
"5848","W.O.R.K.S., Los Angeles"
"5850","WRJ Group Inc, Fountain Valley"
"5851","World Savings (source)"
"5852","California Credit Union"
"5853","Youth Law Center (Sponsor)"
"5854","California Coalition for Youth"
"5855","Commonweal"
"5856","Faith Communities for Families and Children"
"5857","Judicial Council of California"
"5858","Juvenile Court Judges of California"
"5860","One private citizen"
"5861","California District Attorneys Association"
"5862","City of Los Angeles (source)"
"5864","California Police Chiefs Association"
"5865","Coalition to Stop Gun Violence"
"5866","Legal Community Against Gun Violence"
"5867","Los Angeles Mayor James Hahn"
"5869","California Waterfowl Association"
"5870","National Association of Firearms Retailers"
"5871","Safari Club International"
"5873","Several individuals"
"5874","California Agricultural Commissioners and Sealers"
"5876","El Dorado Winery Association"
"5877","Hummingbird Hill Vineyards - Santa Rosa"
"5878","Marine Municipal Water District"
"5879","Napa County"
"5880","Napa County Farm Bureau"
"5881","Napa Valley Grape Growers Association"
"5882","North Coast Wine Growers - Sonoma County"
"5883","Pentimento Vineyards - Glen Ellen"
"5884","Saintsbury Winery - Napa"
"5886","Sonatera Vineyard"
"5887","Sonoma County Board of Supervisors"
"5888","Sonoma County Grape Growers Association"
"5889","The Environmental Action Committee of West Marin"
"5890","Tilbury Vineyards - Sebastopol"
"5891","UCC Vineyard Group"
"5892","California Federation for Animal Legislation"
"5893","Contra Costa Humane Society"
"5894","The Fund For Animals Inc."
"5895","Consumer Alliance for Consumer Protection"
"5896","Cricket Communications"
"5897","Global Fulfillment Services"
"5898","Promotional Marketing Association"
"5899","Young America Corporation"
"5900","California Sportfishing Protection Alliance"
"5901","California Striped Bass Association"
"5902","California Trout"
"5903","Central Delta Water Agency"
"5907","Metropolitan Water District of Southern California"
"5909","Northern California Council/Federation of Fly Fishers"
"5910","Planning and Conservation League (PCL)"
"5912","South Delta Water Agency"
"5913","United Anglers of California"
"5914","Contra Costa Water District"
"5916","California Commission on the Status of Women"
"5917","California National Organization for Women"
"5919","Los Angeles Area Chamber of Commerce"
"5921","Urban VOICE, Inc."
"5924","American College of Surgeons, San Diego Chapter"
"5925","American College of Surgeons, Southern California Chapter"
"5926","California Society of Addiction Medicine"
"5929","Mothers Against Drunk Driving"
"5930","National Commission Against Drunk Driving"
"5931","Scripps Mercy Hospital"
"5932","UC Davis Trauma and Surgical Critical Care"
"5933","American Academy of Pediatrics, California District"
"5934","California Academy of Audiology"
"5935","California Speech-Language Pathology and Audiology Board"
"5936","California Speech-Language-Hearing Association"
"5937","NorCal Center on Deafness"
"5938","Self Help for Hard of Hearing People"
"5940","California Association of Physician Groups"
"5942","Drug Alliance Policy Network (co-source)"
"5943","AIDS Project Los Angeles (co-source)"
"5944","AIDS Healthcare Foundation (co-source)"
"5947","California Pharmacists Association (co-source)"
"5948","San Francisco AIDS Foundation (co-source)"
"5949","Southern California HIV Advocacy Coalition (co-source)"
"5950","Alameda County Board of Supervisors"
"5951","American Civil Liberties Union"
"5953","Being Alive"
"5954","California Opioid Maintenance Providers"
"5955","California Primary Care Association"
"5956","California Public Defenders Association"
"5957","City and County of San Francisco"
"5958","County Health Executives Association of California"
"5959","Diabetes Coalition of California"
"5960","Equality California"
"5961","Harm Reduction Coalition"
"5962","Marin Treatment Center"
"5963","Medical Care Program"
"5964","Waste Management"
"5965","Capitol Resource Institute"
"5966","County of San Diego"
"5967","Los Angeles Deputy Sheriffs, Inc."
"5969","Golden State Manufactured-Home Owners League (source)"
"5970","Alhambra City Councilman Efren J. Moreno, Jr."
"5971","Alhambra City Councilman Daniel R. Arguello"
"5972","Bell Gardens Mayor Pedro Aceituno"
"5973","Bell Gardens Mayor Pro Tem Salvador Franco"
"5974","Carson City Councilman Elito Santarina"
"5975","Commerce City Councilman Jesus M. Cervantes"
"5976","Los Angeles City Attorney, Rocky Delgadillo"
"5977","Los Angeles City Mayor, James K. Hahn"
"5978","Los Angeles City Council President Alex Padilla"
"5979","Los Angeles City Councilman Ed P. Reyes"
"5980","Los Angeles City Councilman Eric Garcetti"
"5981","Los Angeles City Councilwoman Janice Hahn"
"5982","Los Angeles City Councilwoman Jan Perry"
"5984","Huizar"
"5985","Oakland City Council President Ignacio De La Fuente"
"5986","Oakland Vice Mayor Henry Chang, Jr."
"5987","Oakland City Councilman Larry E. Reid"
"5988","Oakland City Councilman Danny Wan"
"5989","Port Hueneme City Councilwoman Marciela P. Morales"
"5990","Sacramento City Councilman Dave Jones"
"5991","Sacramento City Unified School District, Board Member Manny"
"5992","Hernandez"
"5993","Santa Barbara City Mayor, Marty Blum"
"5994","Santa Barbara City Councilwoman Helene Schneider"
"5995","Santa Barbara City Councilman Roger L. Horton"
"5996","Santa Barbara County Second District Supervisor, Susan J."
"5998","Santa Barbara County Third District Supervisor, Gail"
"5999","Marshall"
"6000","Cities of Baldwin Park, Bell Gardens, Berkeley, Carson,"
"6001","Commerce, Huntington Park, Los Angeles, Lynwood, Pomona,"
"6002","Santa Barbara, Santa Monica, Southgate and West Hollywood"
"6003","Santa Barbara County"
"6004","California Correctional Peace Officers Association"
"6005","California Union Safety Employees"
"6006","Latin American Law Enforcement Association"
"6008","Maywood Police Department"
"6009","Newark Police Department"
"6010","San Fernando Police Department"
"6012","Association of Korean Driving Schools in Southern"
"6013","California Hispanic Chamber of Commerce"
"6014","CHARO Community Development Corporation"
"6016","Daniel Jewelry"
"6017","Enterprise Rent-A-Car"
"6019","Fresno Area Hispanic Chamber of Commerce"
"6020","Gilmore Associates"
"6021","International Chamber of Commerce of San Ysidro"
"6024","Korean American Chamber of Commerce"
"6025","Latin Business Association"
"6026","Latino Edge Magazine"
"6027","Lexicon Marketing (USA), Inc"
"6029","Marjay Jewelry"
"6030","Megatoys"
"6031","Mona Jewelry"
"6032","PIP Printing of Sun Valley"
"6033","Sacramento Hispanic Chamber of Commerce"
"6034","Susan Jewelry"
"6035","Universal Alloy Corp. (Mundo Latino)"
"6036","Auto Express Insurance Agency"
"6037","Fabulous Darley Insurance Services"
"6038","FRF Financial & Insurance Services"
"6039","Greenwood Insurance Company"
"6040","Insurance Masters Insurance Agency"
"6041","Jose Vilvaho Insurance Services"
"6042","Multico Insurance Agency"
"6043","Personal Insurance Federation of California"
"6044","Alianza de Trabajadores Latinos"
"6045","Hotel Employees & Restaurant Employees Union, Local 11"
"6046","Labor Council for Latin American Advancement, Los Angeles"
"6049","Office & Professional Employers International Union, Local"
"6051","San Diego-Imperial Counties Labor Council"
"6052","SEIU Local 347"
"6053","SEIU Local 399"
"6054","SEIU Local 415"
"6055","SEIU Local 434B"
"6056","SEIU Local 620"
"6057","SEIU Local 660"
"6058","SEIU Local 715"
"6059","SEIU Local 817"
"6060","SEIU Local 1877"
"6063","UAW Region 5"
"6064","United Domestic Workers of America"
"6065","UFCW Local 839"
"6066","UFCW Local 1442"
"6067","California Faculty Association"
"6068","La Raza Student Organization, San Francisco State"
"6070","Los Angeles City Board of Education"
"6071","Movimiento Estudiantil Chicano de Aztlan of California"
"6072","State University, Stanislaus"
"6073","National Association for Chicana and Chicano Studies,"
"6074","Northern California FOCO"
"6075","Richmond Village Beacon at Washington H.S., San Francisco"
"6076","Soledad Enrichment Action Charter School"
"6078","Clergy and Laity United for Economic Justice"
